name,r,g,b,category,url
Prismacolor: Cream (PC914),255,253,208,Pencil,https://www.prismacolor.com
Prismacolor: Ginger Root (PC1084),230,215,185,Pencil,https://www.prismacolor.com
Prismacolor: Canary Yellow (PC916),255,235,50,Pencil,https://www.prismacolor.com
Prismacolor: Spanish Orange (PC1003),255,190,50,Pencil,https://www.prismacolor.com
Prismacolor: Yellow Orange (PC917),255,165,0,Pencil,https://www.prismacolor.com
Prismacolor: Pale Vermilion (PC921),230,80,60,Pencil,https://www.prismacolor.com
Prismacolor: Crimson Lake (PC925),175,30,45,Pencil,https://www.prismacolor.com
Prismacolor: Mulberry (PC995),145,50,110,Pencil,https://www.prismacolor.com
Prismacolor: Pink (PC929),255,180,200,Pencil,https://www.prismacolor.com
Prismacolor: Blush Pink (PC928),255,210,215,Pencil,https://www.prismacolor.com
Prismacolor: Light Violet (PC934),185,150,210,Pencil,https://www.prismacolor.com
Prismacolor: Parma Violet (PC1008),140,110,185,Pencil,https://www.prismacolor.com
Prismacolor: Imperial Violet (PC1007),85,55,120,Pencil,https://www.prismacolor.com
Prismacolor: Indigo Blue (PC901),30,45,80,Pencil,https://www.prismacolor.com
Prismacolor: Copenhagen Blue (PC906),45,100,160,Pencil,https://www.prismacolor.com
Prismacolor: True Blue (PC903),40,115,185,Pencil,https://www.prismacolor.com
Prismacolor: Sky Blue Light (PC1086),180,215,235,Pencil,https://www.prismacolor.com
Prismacolor: Cloud Blue (PC1023),190,210,225,Pencil,https://www.prismacolor.com
Prismacolor: Peacock Blue (PC1027),0,140,170,Pencil,https://www.prismacolor.com
Prismacolor: Aquamarine (PC905),115,195,195,Pencil,https://www.prismacolor.com
Prismacolor: Parrot Green (PC1006),160,210,65,Pencil,https://www.prismacolor.com
Prismacolor: Spring Green (PC913),180,225,115,Pencil,https://www.prismacolor.com
Prismacolor: Apple Green (PC912),140,185,70,Pencil,https://www.prismacolor.com
Prismacolor: Grass Green (PC909),75,130,70,Pencil,https://www.prismacolor.com
Prismacolor: Olive Green (PC911),115,125,65,Pencil,https://www.prismacolor.com
Prismacolor: Dark Green (PC908),40,75,55,Pencil,https://www.prismacolor.com
Prismacolor: Terra Cotta (PC944),145,75,55,Pencil,https://www.prismacolor.com
Prismacolor: Sienna Brown (PC945),130,75,50,Pencil,https://www.prismacolor.com
Prismacolor: Dark Umber (PC947),75,55,45,Pencil,https://www.prismacolor.com
Prismacolor: Black (PC935),20,20,20,Pencil,https://www.prismacolor.com
W&N: Titanium White,255,255,255,Oil Paint,https://www.winsornewton.com
W&N: Zinc White,250,252,255,Oil Paint,https://www.winsornewton.com
W&N: Lemon Yellow Hue,255,244,79,Oil Paint,https://www.winsornewton.com
W&N: Cadmium Yellow,255,200,0,Oil Paint,https://www.winsornewton.com
W&N: Yellow Ochre,195,155,75,Oil Paint,https://www.winsornewton.com
W&N: Raw Sienna,175,110,50,Oil Paint,https://www.winsornewton.com
W&N: Cadmium Orange,255,100,0,Oil Paint,https://www.winsornewton.com
W&N: Cadmium Red,220,30,40,Oil Paint,https://www.winsornewton.com
W&N: Alizarin Crimson,145,30,50,Oil Paint,https://www.winsornewton.com
W&N: Permanent Rose,220,50,110,Oil Paint,https://www.winsornewton.com
W&N: French Ultramarine,18,52,144,Oil Paint,https://www.winsornewton.com
W&N: Cobalt Blue,0,71,171,Oil Paint,https://www.winsornewton.com
W&N: Cerulean Blue Hue,42,82,190,Oil Paint,https://www.winsornewton.com
W&N: Prussian Blue,0,49,83,Oil Paint,https://www.winsornewton.com
W&N: Viridian,0,125,100,Oil Paint,https://www.winsornewton.com
W&N: Sap Green,80,105,55,Oil Paint,https://www.winsornewton.com
W&N: Terre Verte,110,120,95,Oil Paint,https://www.winsornewton.com
W&N: Raw Umber,115,100,85,Oil Paint,https://www.winsornewton.com
W&N: Burnt Umber,70,55,45,Oil Paint,https://www.winsornewton.com
W&N: Ivory Black,35,35,35,Oil Paint,https://www.winsornewton.com
SW: Alabaster,237,234,224,Wall Paint,https://www.sherwin-williams.com
SW: Pure White,237,236,230,Wall Paint,https://www.sherwin-williams.com
SW: Agreeable Gray,209,203,193,Wall Paint,https://www.sherwin-williams.com
SW: Repose Gray,204,199,192,Wall Paint,https://www.sherwin-williams.com
SW: Sea Salt,205,210,202,Wall Paint,https://www.sherwin-williams.com
SW: Rainwashed,194,205,196,Wall Paint,https://www.sherwin-williams.com
SW: Naval,47,61,80,Wall Paint,https://www.sherwin-williams.com
